date,gross_sales_sar,return_value_sar,sama_calibrated_net_sales_sar,base_net_sales_sar_unscaled,scenario_net_sales_sar,transaction_rows,invoice_count,electronic_invoice_count,unique_observed_customers,new_observed_customers,returning_observed_customers,unique_products,units,average_invoice_value_sar,return_rate_value,sama_weekly_market_index
2023-01-14,148283.48,1323.89,146959.59,268394.53,268394.53,1966,106,80,92,43,49,1022,27192.0,1386.41,0.008928,0.8956579368252029
2023-01-15,233299.57,523.52,232776.05,272913.57,272913.57,3182,103,66,83,41,42,1418,25098.0,2259.96,0.002244,0.8150337778305862
2023-01-16,136259.99,4616.46,131643.53,156346.75,156346.75,1905,155,105,116,34,82,1063,15619.0,849.31,0.03388,0.8150337778305864
2023-01-17,194294.65,1031.29,193263.36,223356.78,223356.78,2030,76,52,56,24,32,1117,17525.0,2542.94,0.005308,0.8150337778305864
2023-01-18,52302.89,662.04,51640.85,60860.85,60860.85,628,40,28,35,6,29,466,6275.0,1291.02,0.012658,0.8150337778305863
2023-01-19,71362.18,5792.46,65569.72,81007.91,81007.91,619,49,34,33,7,26,464,9080.0,1338.16,0.08117,0.8150337778305862
2023-01-20,123975.95,2460.02,121515.94,133516.48,133516.48,1889,66,47,32,7,25,1026,14692.0,1841.15,0.019843,0.8150337778305862
2023-01-21,55573.92,268.44,55305.48,57908.45,57908.45,529,25,20,15,4,11,373,4626.0,2212.22,0.00483,0.8150337778305864
2023-01-22,60269.92,1224.26,59045.66,72187.36,72187.36,632,41,27,28,6,22,494,10713.0,1440.14,0.020313,0.8479653585498171
2023-01-23,87817.11,407.78,87409.33,103896.65,103896.65,923,40,26,31,13,18,631,11340.0,2185.23,0.004643,0.8479653585498174
2023-01-24,40091.74,0.0,40091.74,47716.1,47716.1,290,14,11,13,5,8,248,7456.0,2863.7,0.0,0.8479653585498172
2023-01-25,314237.95,3526.68,310711.28,394734.76,414471.32,1054,83,62,71,16,55,691,40887.0,3743.51,0.011223,0.8479653585498172
2023-01-26,125624.37,83.59,125540.78,154237.04,161948.59,702,43,31,40,13,27,501,12679.0,2919.55,0.000665,0.8479653585498174
2023-01-27,99726.0,909.98,98816.01,127383.22,133751.96,693,37,24,29,13,16,488,13401.0,2670.7,0.009125,0.8479653585498172
2023-01-28,165845.65,1331.84,164513.81,184338.12,193554.66,2660,60,41,41,14,27,1070,14102.0,2741.9,0.008031,0.847965358549817
2023-01-29,234553.47,528.19,234025.28,218894.65,218894.65,1063,42,34,33,13,20,767,21253.0,5572.03,0.002252,1.0086572578114275
2023-01-30,122120.24,1997.06,120123.19,107133.41,107133.41,1602,44,34,37,10,27,916,8918.0,2730.07,0.016353,1.0086572578114277
2023-01-31,187045.52,4216.17,182829.34,163335.85,163335.85,2205,81,56,62,16,46,1056,14143.0,2257.15,0.022541,1.0086572578114272
2023-02-01,80273.11,1514.49,78758.62,71698.36,71698.36,650,49,43,41,15,26,438,8562.0,1607.32,0.018867,1.0086572578114275
2023-02-02,101950.57,59.67,101890.9,94956.28,94956.28,1079,41,28,35,13,22,684,9913.0,2485.14,0.000585,1.0086572578114275
2023-02-03,133052.22,768.64,132283.59,110082.0,110082.0,1887,46,32,33,16,17,1003,10349.0,2875.73,0.005777,1.0086572578114275
2023-02-04,206069.83,1928.17,204141.66,170593.05,170593.05,1827,49,33,43,21,22,1065,15460.0,4166.16,0.009357,1.0086572578114272
2023-02-05,90139.03,10348.08,79790.94,83336.89,83336.89,1188,67,43,58,15,43,801,10428.0,1190.91,0.114801,0.9156660192037047
2023-02-06,155249.45,1990.25,153259.2,147345.88,147345.88,1194,63,40,53,20,33,760,72990.0,2432.69,0.01282,0.9156660192037045
2023-02-07,177795.92,808.4,176987.52,185243.87,185243.87,1480,48,35,40,8,32,862,18656.0,3687.24,0.004547,0.9156660192037045
2023-02-08,83293.53,149.56,83143.97,86600.16,86600.16,1231,52,38,48,27,21,705,8856.0,1598.92,0.001796,0.9156660192037043
2023-02-09,125710.67,1000.93,124709.74,121180.63,121180.63,1665,63,46,45,16,29,910,10078.0,1979.52,0.007962,0.9156660192037044
2023-02-10,197610.08,2047.63,195562.45,203699.71,203699.71,1464,68,46,50,20,30,822,23070.0,2875.92,0.010362,0.9156660192037046
2023-02-11,144355.22,932.84,143422.38,151549.25,151549.25,1531,71,50,57,20,37,878,17938.0,2020.03,0.006462,0.9156660192037045
2023-02-12,127352.72,3454.3,123898.42,105336.76,105336.76,1232,69,44,55,14,41,741,11484.0,1795.63,0.027124,0.8682582373634797
2023-02-13,125019.09,2394.77,122624.32,100940.27,100940.27,1185,67,47,49,12,37,706,10319.0,1830.21,0.019155,0.86825823736348
2023-02-14,118488.73,1444.08,117044.65,98540.18,98540.18,1369,57,37,48,24,24,795,10747.0,2053.41,0.012187,0.8682582373634798
2023-02-15,120155.47,379.7,119775.77,98618.47,98618.47,1360,70,52,51,19,32,835,9242.0,1711.08,0.00316,0.8682582373634798
2023-02-16,143071.28,418.96,142652.32,113570.49,113570.49,1144,55,38,40,12,28,739,11134.0,2593.68,0.002928,0.8682582373634798
2023-02-17,134849.7,935.88,133913.82,112173.22,112173.22,1439,56,32,45,17,28,857,10343.0,2391.32,0.00694,0.8682582373634798
2023-02-18,147521.34,95.85,147425.49,121625.41,121625.41,1481,64,45,51,18,33,818,12805.0,2303.52,0.00065,0.8682582373634798
2023-02-19,178491.88,5650.06,172841.83,112561.95,112561.95,978,63,40,51,9,42,627,10800.0,2743.52,0.031654,0.8726348218268526
2023-02-20,143029.0,2655.48,140373.52,90777.17,90777.17,823,35,28,29,11,18,557,11251.0,4010.67,0.018566,0.8726348218268525
2023-02-21,144068.76,4526.95,139541.81,83620.85,83620.85,1347,63,44,47,21,26,780,9081.0,2214.95,0.031422,0.8726348218268526
2023-02-22,157581.12,226.64,157354.47,101602.57,107698.44,1035,56,40,52,17,35,666,10862.0,2809.9,0.001438,0.8726348218268525
2023-02-23,83327.13,3431.33,79895.8,45822.83,45822.83,864,36,27,26,8,18,623,3956.0,2219.33,0.041179,0.8726348218268525
2023-02-24,127717.93,1316.07,126401.87,80364.44,80364.44,820,63,45,50,20,30,517,9078.0,2006.38,0.010304,0.8726348218268526
2023-02-25,96039.04,539.99,95499.06,59731.49,62717.98,780,38,23,29,13,16,574,7677.0,2513.13,0.005623,0.8726348218268524
2023-02-26,129584.15,1299.87,128284.28,95741.88,100529.25,1159,50,33,40,19,21,709,10933.0,2565.69,0.010031,1.2229342692512823
2023-02-27,284670.81,1145.78,283525.03,222355.56,233473.3,879,48,36,37,11,26,566,96481.0,5906.77,0.004025,1.2229342692512823
2023-02-28,227478.78,1608.18,225870.59,164537.84,172764.86,1896,71,48,57,20,37,1056,16764.0,3181.28,0.00707,1.2229342692512823
2023-03-01,183710.29,33638.31,150071.98,122788.76,122788.76,1032,56,41,46,13,33,669,27600.0,2679.86,0.183105,1.2229342692512823
2023-03-02,249700.1,4817.43,244882.67,192253.72,192253.72,1353,86,62,75,22,53,786,20138.0,2847.47,0.019293,1.2229342692512821
2023-03-03,179660.62,1054.19,178606.43,140326.87,140326.87,1596,62,44,33,9,24,920,12714.0,2880.75,0.005868,1.2229342692512823
2023-03-04,80239.22,13506.94,66732.28,50462.61,50462.61,967,60,43,50,14,36,615,6420.0,1112.2,0.168333,1.2229342692512823
2023-03-05,167071.8,942.82,166128.98,143217.2,143217.2,1120,54,31,45,17,28,669,13456.0,3076.46,0.005643,1.1084186631786233
2023-03-06,137355.21,877.38,136477.84,120919.04,120919.04,1164,56,34,46,12,34,735,11907.0,2437.1,0.006388,1.1084186631786235
2023-03-07,205060.57,2258.28,202802.29,177334.79,177334.79,1329,73,48,51,19,32,787,22521.0,2778.11,0.011013,1.1084186631786235
2023-03-08,287025.59,9038.76,277986.82,245592.07,245592.07,1544,88,63,68,18,50,866,26855.0,3158.94,0.031491,1.1084186631786235
2023-03-09,102118.55,5128.01,96990.53,83907.51,83907.51,1004,47,34,31,9,22,691,7885.0,2063.63,0.050216,1.1084186631786237
2023-03-10,110674.58,948.88,109725.69,90243.35,90243.35,1255,58,47,50,13,37,737,8463.0,1891.82,0.008574,1.1084186631786235
2023-03-11,170959.39,2767.73,168191.66,136348.91,136348.91,1182,62,42,51,17,34,780,21616.0,2712.77,0.016189,1.1084186631786235
2023-03-12,143511.1,3772.25,139738.86,135179.33,135179.33,1555,88,58,75,14,61,945,12159.0,1587.94,0.026285,1.0068706930203224
2023-03-13,183932.85,1179.17,182753.68,181468.62,181468.62,1726,77,51,59,19,40,1020,20520.0,2373.42,0.006411,1.0068706930203224
2023-03-14,173841.8,2301.5,171540.3,169533.32,169533.32,1893,88,59,75,19,56,998,18693.0,1949.32,0.013239,1.0068706930203224
2023-03-15,142439.95,0.0,142439.95,146292.72,146292.72,1228,81,52,55,20,35,769,18222.0,1758.52,0.0,1.0068706930203224
2023-03-16,103681.45,383.9,103297.54,105342.97,105342.97,1728,60,44,49,22,27,1076,11031.0,1721.63,0.003703,1.0068706930203224
2023-03-17,197629.55,1918.08,195711.47,193655.84,193655.84,1932,81,59,71,29,42,1046,15642.0,2416.19,0.009705,1.0068706930203224
2023-03-18,121015.72,4311.91,116703.8,113532.89,113532.89,1210,72,51,62,16,46,760,13015.0,1620.89,0.035631,1.0068706930203224
2023-03-19,155356.27,2899.06,152457.21,142861.43,142861.43,1576,79,59,57,14,43,929,18218.0,1929.84,0.018661,0.9264161196460535
2023-03-20,143688.2,1024.79,142663.41,130459.74,130459.74,1281,53,31,40,4,36,841,14197.0,2691.76,0.007132,0.9264161196460534
2023-03-21,121050.04,1459.34,119590.7,114964.93,114964.93,914,42,26,33,14,19,648,11142.0,2847.4,0.012056,0.9264161196460535
2023-03-22,51964.97,96.13,51868.84,48687.54,48687.54,647,25,18,22,7,15,446,4899.0,2074.75,0.00185,0.9264161196460533
2023-03-23,171215.89,1632.89,169582.99,143525.38,150941.35,1652,68,52,46,10,36,965,15129.0,2493.87,0.009537,0.9264161196460534
2023-03-24,144082.06,5703.35,138378.7,123402.62,131680.86,1359,89,56,76,12,64,826,13215.0,1554.82,0.039584,0.9264161196460535
2023-03-25,194516.87,948.62,193568.25,165941.31,192995.65,1271,53,31,43,9,34,772,78846.0,3652.23,0.004877,0.9264161196460534
2023-03-26,218450.83,1999.0,216451.82,217284.63,240538.14,1558,91,67,72,24,48,842,23651.0,2378.59,0.009151,1.0660317401179664
2023-03-27,138954.47,1528.9,137425.56,126533.06,141305.13,1361,66,56,53,12,41,748,13472.0,2082.21,0.011003,1.0660317401179662
2023-03-28,112608.03,1723.34,110884.69,110276.32,124713.21,1338,62,45,52,13,39,797,12270.0,1788.46,0.015304,1.0660317401179666
2023-03-29,140191.46,2588.37,137603.08,132952.33,139986.12,1498,84,63,72,11,61,876,12885.0,1638.13,0.018463,1.0660317401179666
2023-03-30,171899.9,756.83,171143.07,175637.12,183185.0,1281,75,49,61,12,49,747,54506.0,2281.91,0.004403,1.0660317401179662
2023-03-31,161332.55,8044.4,153288.15,146606.12,156256.5,1548,103,79,85,14,71,865,14945.0,1488.23,0.049862,1.0660317401179664
2023-04-01,188024.51,811.67,187212.85,173785.59,185279.08,1811,85,63,69,20,49,938,17053.0,2202.5,0.004317,1.0660317401179662
2023-04-02,157330.44,1144.62,156185.82,174107.9,185980.08,1365,72,49,56,18,38,879,20976.0,2169.25,0.007275,1.0556761926626903
2023-04-03,106287.11,157.98,106129.13,122029.36,127944.82,1790,59,39,55,24,31,903,14518.0,1798.8,0.001486,1.0556761926626905
2023-04-04,282526.89,834.56,281692.33,321387.16,339164.42,1930,93,60,45,11,34,1028,25173.0,3028.95,0.002954,1.0556761926626905
2023-04-05,181784.84,4765.04,177019.79,201146.91,211161.2,1876,104,74,81,22,59,1007,19563.0,1702.11,0.026213,1.0556761926626905
2023-04-06,141458.56,1575.86,139882.7,156754.74,167476.76,1871,86,61,68,17,51,952,13747.0,1626.54,0.01114,1.0556761926626905
2023-04-07,151797.5,807.18,150990.32,163357.8,173231.96,1664,81,61,73,21,52,901,17401.0,1864.08,0.005317,1.0556761926626905
2023-04-08,93069.81,1782.27,91287.54,103386.56,111023.38,1073,60,44,48,13,35,693,13349.0,1521.46,0.01915,1.0556761926626907
2023-04-09,199109.98,472.69,198637.29,187906.95,197995.94,1364,66,48,49,14,35,824,23532.0,3009.66,0.002374,1.094151905753022
2023-04-10,287307.52,2678.58,284628.94,256761.17,270822.52,1995,91,64,71,19,52,1016,26925.0,3127.79,0.009323,1.0941519057530225
2023-04-11,93155.12,544.83,92610.29,88280.09,93564.45,889,53,40,35,9,26,594,9082.0,1747.36,0.005849,1.094151905753022
2023-04-12,110066.7,1340.84,108725.85,106598.48,112745.92,1073,44,35,41,12,29,662,11598.0,2471.04,0.012182,1.0941519057530222
2023-04-13,159607.69,9440.42,150167.27,139665.63,147856.01,981,81,59,67,10,57,607,13122.0,1853.92,0.059148,1.0941519057530225
2023-04-14,149793.41,5947.29,143846.12,135323.06,143289.81,1285,83,50,69,11,58,750,16232.0,1733.09,0.039703,1.0941519057530222
2023-04-15,168161.35,3382.14,164779.22,143402.27,153076.85,1098,61,42,51,8,43,623,16613.0,2701.3,0.020112,1.0941519057530222
2023-04-16,105769.53,830.88,104938.65,104459.54,111010.89,1128,67,50,56,13,43,652,10776.0,1566.25,0.007856,1.0072746441219325
2023-04-17,100349.46,6396.9,93952.56,97549.49,103744.29,853,47,34,39,10,29,585,15868.0,1998.99,0.063746,1.0072746441219327
2023-04-18,142267.87,145.96,142121.9,130158.9,140144.47,1430,56,45,43,8,35,749,12966.0,2537.89,0.001026,1.0072746441219325
2023-04-19,244007.98,4966.17,239041.82,235756.03,249775.34,3102,81,59,48,11,37,1249,19414.0,2951.13,0.020352,1.0072746441219327
2023-04-20,134483.49,696.26,133787.24,132013.63,138644.1,1503,73,51,56,10,46,823,13498.0,1832.7,0.005177,1.0072746441219325
2023-04-21,150295.15,500.33,149794.82,148265.12,155543.31,1291,70,48,53,8,45,725,13278.0,2139.93,0.003329,1.0072746441219325
2023-04-22,199017.61,10046.86,188970.75,192945.89,201086.98,1534,126,84,110,15,95,808,22579.0,1499.77,0.050482,1.0072746441219327
2023-04-23,74941.71,289.75,74651.95,88331.91,92064.15,1124,59,40,46,9,37,660,10220.0,1265.29,0.003866,0.870801602110011
2023-04-24,79383.05,3338.37,76044.68,88143.18,88143.18,1305,50,35,44,8,36,729,8413.0,1520.89,0.042054,0.870801602110011
2023-04-25,154862.89,227.27,154635.62,189636.97,199119.08,1891,101,72,69,19,50,913,19508.0,1531.05,0.001468,0.8708016021100111
2023-04-26,193462.38,2085.11,191377.28,248196.99,260606.86,1659,98,68,76,14,62,842,23526.0,1952.83,0.010778,0.8708016021100111
2023-04-27,142199.12,709.41,141489.71,174324.16,183040.16,1754,78,60,65,21,44,902,19409.0,1813.97,0.004989,0.870801602110011
2023-04-28,146444.5,1620.98,144823.52,174336.72,183053.85,2019,96,63,78,17,61,1039,17122.0,1508.58,0.011069,0.870801602110011
2023-04-29,129275.52,2305.65,126969.87,148391.62,148391.62,1229,77,53,61,7,54,740,17644.0,1648.96,0.017835,0.870801602110011
2023-04-30,68323.89,214.52,68109.37,66855.03,66855.03,832,41,26,39,9,30,532,6301.0,1661.2,0.00314,0.9727822211839542
2023-05-01,111784.47,3132.71,108651.76,114387.19,114387.19,1424,79,57,69,12,57,815,11321.0,1375.34,0.028025,0.9727822211839542
2023-05-02,137435.68,6240.08,131195.6,141867.44,141867.44,1560,110,78,82,16,66,829,16101.0,1192.69,0.045404,0.9727822211839543
2023-05-03,265685.73,6679.45,259006.28,283593.47,283593.47,2086,109,63,87,11,76,963,31690.0,2376.2,0.02514,0.9727822211839543
2023-05-04,183944.72,3329.91,180614.8,189259.95,189259.95,1332,73,47,54,8,46,804,23306.0,2474.18,0.018103,0.9727822211839542
2023-05-05,118499.5,211.15,118288.36,124372.22,124372.22,1691,64,45,53,10,43,898,11773.0,1848.26,0.001782,0.9727822211839544
2023-05-06,163176.42,12479.63,150696.79,158939.65,158939.65,1642,106,78,86,12,74,931,16316.0,1421.67,0.076479,0.9727822211839545
2023-05-07,160080.92,374.61,159706.31,154054.81,154054.81,1654,70,44,62,14,48,911,18167.0,2281.52,0.00234,0.9138179471094252
2023-05-08,176943.52,669.64,176273.88,168691.05,168691.05,1232,70,51,54,15,39,741,21673.0,2518.2,0.003784,0.9138179471094254
2023-05-09,231697.16,77170.08,154527.08,151111.76,151111.76,1391,85,60,69,13,56,772,35778.0,1817.97,0.333064,0.9138179471094253
2023-05-10,103908.48,38670.07,65238.41,64476.05,64476.05,934,99,82,78,8,70,584,16936.0,658.97,0.372155,0.9138179471094254
2023-05-11,104754.37,2292.17,102462.2,98407.86,98407.86,1488,47,36,38,5,33,831,11095.0,2180.05,0.021881,0.9138179471094252
2023-05-12,157011.62,5870.78,151140.84,130074.32,130074.32,1393,70,48,59,8,51,779,14082.0,2159.15,0.037391,0.9138179471094254
2023-05-13,153423.36,7827.12,145596.25,146505.73,146505.73,1487,82,69,64,8,56,826,22738.0,1775.56,0.051016,0.9138179471094252
2023-05-14,82593.0,2761.82,79831.18,92074.34,92074.34,1213,69,51,61,14,47,714,9895.0,1156.97,0.033439,0.8468385078345032
2023-05-15,122281.89,1246.83,121035.05,137970.47,137970.47,1597,84,62,68,12,56,851,15689.0,1440.89,0.010196,0.8468385078345031
2023-05-16,120137.66,1491.32,118646.34,143271.06,143271.06,1292,69,51,55,5,50,808,10134.0,1719.51,0.012413,0.8468385078345031
2023-05-17,119009.05,2130.56,116878.49,133846.82,133846.82,1301,53,40,41,11,30,683,14082.0,2205.25,0.017903,0.8468385078345033
2023-05-18,175502.03,1172.35,174329.68,192217.76,192217.76,1399,76,48,64,15,49,747,32890.0,2293.81,0.00668,0.8468385078345031
2023-05-19,104143.44,4204.01,99939.43,115619.43,115619.43,1387,80,47,64,8,56,765,15167.0,1249.24,0.040367,0.8468385078345032
2023-05-20,176588.67,2297.78,174290.89,188249.43,188249.43,1794,109,86,72,16,56,903,18962.0,1599.0,0.013012,0.8468385078345033
2023-05-21,208165.96,611.9,207554.06,166550.55,166550.55,1997,96,70,80,14,66,931,17944.0,2162.02,0.002939,0.8982748921650269
2023-05-22,150891.88,28841.13,122050.75,92616.01,92616.01,1268,95,65,71,11,60,737,13700.0,1284.74,0.191138,0.898274892165027
2023-05-23,72840.11,622.16,72217.95,58049.51,58049.51,789,35,28,30,0,30,567,6255.0,2063.37,0.008541,0.8982748921650267
2023-05-24,99139.39,615.06,98524.34,84456.17,84456.17,1205,52,39,36,6,30,760,8327.0,1894.7,0.006204,0.8982748921650271
2023-05-25,112351.18,587.71,111763.47,86869.42,91212.47,941,48,27,39,11,28,672,11819.0,2328.41,0.005231,0.898274892165027
2023-05-26,190202.59,5603.03,184599.55,155933.33,163729.96,1685,103,71,80,7,73,944,17885.0,1792.23,0.029458,0.898274892165027
2023-05-27,142420.68,428.43,141992.25,110592.18,116121.66,1357,54,35,32,6,26,812,8157.0,2629.49,0.003008,0.898274892165027
2023-05-28,137096.17,504.68,136591.49,138222.25,145133.34,2160,73,55,63,18,45,967,14101.0,1871.12,0.003681,1.159258435059532
2023-05-29,259970.16,21728.89,238241.27,244128.34,244128.34,2569,113,79,85,21,64,1163,32169.0,2108.33,0.083582,1.159258435059532
2023-05-30,270925.34,3663.41,267261.93,275729.48,275729.48,2017,90,66,65,7,58,1049,26186.0,2969.58,0.013522,1.159258435059532
2023-05-31,196319.73,4769.68,191550.05,203828.28,203828.28,1431,87,64,72,14,58,785,25625.0,2201.72,0.024295,1.159258435059532
2023-06-01,100234.92,10684.81,89550.11,84222.54,84222.54,1049,95,64,82,8,74,609,10140.0,942.63,0.106598,1.159258435059532
2023-06-02,180455.95,977.68,179478.27,177650.65,177650.65,1716,83,58,66,17,49,922,21753.0,2162.39,0.005418,1.159258435059532
2023-06-03,109408.39,649.86,108758.53,116143.94,116143.94,1440,78,50,61,6,55,838,11160.0,1394.34,0.00594,1.1592584350595319
2023-06-04,150337.82,5653.74,144684.08,124989.01,124989.01,1615,72,49,61,17,44,947,16641.0,2009.5,0.037607,0.9806634632521974
2023-06-05,204244.28,2111.66,202132.62,162187.5,162187.5,1543,65,40,50,9,41,871,19624.0,3109.73,0.010339,0.9806634632521974
2023-06-06,212741.33,777.81,211963.52,168324.41,168324.41,1817,91,67,73,10,63,957,19022.0,2329.27,0.003656,0.9806634632521977
2023-06-07,155853.97,1706.19,154147.78,128469.05,128469.05,1753,88,56,68,12,56,854,13309.0,1751.68,0.010947,0.9806634632521973
2023-06-08,115186.19,693.95,114492.24,99862.06,99862.06,956,56,37,49,5,44,601,9612.0,2044.5,0.006025,0.9806634632521974
2023-06-09,54557.95,100.41,54457.54,49134.19,49134.19,432,27,18,26,3,23,332,4484.0,2016.95,0.00184,0.9806634632521977
2023-06-10,143007.35,86.23,142921.12,114463.94,114463.94,1748,45,31,40,10,30,998,12060.0,3176.02,0.000603,0.9806634632521974
2023-06-11,84567.07,456.62,84110.45,77682.06,77682.06,994,45,30,37,8,29,666,6977.0,1869.12,0.0054,0.9777227764312741
2023-06-12,165699.65,12.61,165687.04,150655.85,150655.85,1214,69,48,54,15,39,760,16223.0,2401.26,7.6e-05,0.9777227764312744
2023-06-13,137086.62,8549.14,128537.49,121845.11,121845.11,1515,105,81,69,6,63,758,11806.0,1224.17,0.062363,0.9777227764312741
2023-06-14,98831.55,74.02,98757.53,92690.65,92690.65,1194,44,32,35,5,30,786,8005.0,2244.49,0.000749,0.9777227764312743
2023-06-15,113110.14,5925.15,107184.99,95313.17,95313.17,1256,62,39,52,7,45,757,11072.0,1728.79,0.052384,0.9777227764312744
2023-06-16,291857.92,45905.91,245952.0,244065.43,244065.43,1852,78,59,68,14,54,923,41935.0,3153.23,0.157289,0.9777227764312741
2023-06-17,193072.62,1576.26,191496.36,184438.14,184438.14,1584,77,52,59,7,52,859,20937.0,2486.97,0.008164,0.9777227764312741
2023-06-18,204549.06,15601.73,188947.32,170133.52,170133.52,1897,131,89,111,12,99,953,22567.0,1442.35,0.076274,1.0317546346969662
2023-06-19,188068.32,1567.41,186500.92,161184.95,163237.61,1825,93,67,83,16,67,911,16575.0,2005.39,0.008334,1.0317546346969662
2023-06-20,102021.52,1063.44,100958.08,89382.94,92115.27,1036,52,36,40,7,33,638,8727.0,1941.5,0.010424,1.031754634696966
2023-06-21,66677.6,41.96,66635.64,56643.5,58091.62,649,22,13,20,4,16,463,5303.0,3028.89,0.000629,1.0317546346969662
2023-06-22,198597.98,3340.79,195257.19,174278.78,176209.35,1911,109,89,84,9,75,803,16900.0,1791.35,0.016822,1.0317546346969662
2023-06-23,149224.59,1575.18,147649.41,125234.88,127009.85,1100,63,42,52,7,45,682,12210.0,2343.64,0.010556,1.0317546346969662
2023-06-24,194779.65,2538.75,192240.91,166917.8,169764.8,1711,85,64,58,7,51,915,14774.0,2261.66,0.013034,1.031754634696966
2023-06-25,122395.26,2359.51,120035.75,103851.39,110202.12,1306,78,57,64,8,56,776,11806.0,1538.92,0.019278,1.0172740701656515
2023-06-26,215415.64,15994.78,199420.86,182537.54,193710.23,899,43,29,33,3,30,606,14290.0,4637.69,0.074251,1.0172740701656517
2023-06-27,48093.25,22.05,48071.2,42528.46,45294.07,694,29,20,24,2,22,497,5808.0,1657.63,0.000459,1.0172740701656517
2023-06-28,125376.03,1617.62,123758.4,103859.53,110823.71,1187,56,39,41,4,37,730,9915.0,2209.97,0.012902,1.0172740701656517
2023-06-29,124833.01,2458.46,122374.55,110157.71,111925.07,1138,61,43,41,5,36,744,10177.0,2006.14,0.019694,1.0172740701656517
2023-06-30,150947.56,8341.54,142606.02,120292.71,121651.37,1407,104,77,84,6,78,846,13664.0,1371.21,0.055261,1.017274070165652
2023-07-01,307172.82,382.42,306790.4,306682.64,306682.64,1532,82,56,62,11,51,836,27924.0,3741.35,0.001245,1.0172740701656515
2023-07-02,136392.47,15821.84,120570.63,110606.93,110606.93,1187,101,78,82,4,78,752,14734.0,1193.77,0.116002,0.9389396946485458
2023-07-03,91942.29,1296.97,90645.32,80582.02,80582.02,887,42,29,37,10,27,594,9696.0,2158.22,0.014106,0.9389396946485459
2023-07-04,183877.59,782.65,183094.95,164162.03,164162.03,1432,64,40,59,7,52,783,18549.0,2860.86,0.004256,0.9389396946485459
2023-07-05,155522.57,2056.3,153466.26,131692.24,131692.24,1158,61,43,52,6,46,666,12234.0,2515.84,0.013222,0.9389396946485457
2023-07-06,135486.27,2802.26,132684.01,116309.86,116309.86,1264,80,51,67,3,64,750,13332.0,1658.55,0.020683,0.9389396946485458
2023-07-07,164884.95,3544.79,161340.16,136845.37,136845.37,1570,90,59,66,12,54,813,14038.0,1792.67,0.021499,0.9389396946485459
2023-07-08,149334.99,9938.99,139396.0,134012.4,134012.4,1037,54,28,42,5,37,668,13704.0,2581.41,0.066555,0.9389396946485459
2023-07-09,95809.53,1051.07,94758.46,91851.24,91851.24,1235,58,46,51,9,42,744,11574.0,1633.77,0.01097,0.9162458493059324
2023-07-10,132821.58,10568.53,122253.05,119802.15,119802.15,1516,74,48,57,6,51,824,16678.0,1652.07,0.079569,0.9162458493059323
2023-07-11,159666.19,6110.02,153556.17,145771.32,145771.32,1027,79,60,59,11,48,665,14690.0,1943.75,0.038267,0.9162458493059323
2023-07-12,136025.64,2073.05,133952.59,125025.24,125025.24,1325,82,57,73,8,65,725,13419.0,1633.57,0.01524,0.9162458493059323
2023-07-13,229295.36,3319.84,225975.52,181028.8,181028.8,1861,92,71,77,8,69,906,13995.0,2456.26,0.014478,0.9162458493059326
